,lon,lat,year,geoUncertaintyInM,areaInM2,region,country,speciesId,surveyId,geometry,in_polygon
336,6.54883,43.63823,2019,1.0,,MEDITERRANEAN,France,2539.0,15409,POINT (6.54883 43.63823),True
351,5.132455,43.397616,2017,0.0,10.0,MEDITERRANEAN,France,3642.0,15789,POINT (5.132455 43.397616),True
375,3.037705,42.76022,2018,10.0,16.0,MEDITERRANEAN,France,1381.0,16241,POINT (3.037705 42.76022),True
387,3.017092,42.831557,2018,10.0,16.0,MEDITERRANEAN,France,8721.0,17247,POINT (3.017092 42.831557),True
401,6.92167,43.459111,2018,0.0,50.0,MEDITERRANEAN,France,7212.0,17269,POINT (6.92167 43.459111),True
415,6.935912,43.525279,2020,3.0,3.0,MEDITERRANEAN,France,4916.0,18287,POINT (6.935912 43.525279),True
424,6.13731,43.031578,2018,10.0,70.0,MEDITERRANEAN,France,476.0,18667,POINT (6.13731 43.031578),True
434,3.519491,43.317678,2017,10.0,-inf,MEDITERRANEAN,France,6279.0,22036,POINT (3.519491 43.317678),True
435,3.521183,43.330345,2017,10.0,-inf,MEDITERRANEAN,France,7955.0,22152,POINT (3.521183 43.330345),True
436,5.576563,43.175508,2021,10.0,100.0,MEDITERRANEAN,France,476.0,22239,POINT (5.576563 43.175508),True
452,3.784565,43.669353,2019,0.0,50.0,MEDITERRANEAN,France,8887.0,22881,POINT (3.784565 43.669353),True
464,5.60598,43.61686,2017,1.0,,MEDITERRANEAN,France,4854.0,24481,POINT (5.60598 43.61686),True
489,3.872788,43.526774,2020,9.0,25.0,MEDITERRANEAN,France,2075.0,27824,POINT (3.872788 43.526774),True
492,3.731734,43.749216,2018,0.0,50.0,MEDITERRANEAN,France,6703.0,27836,POINT (3.731734 43.749216),True
498,6.0976,43.031909,2017,0.0,30.0,MEDITERRANEAN,France,3642.0,28482,POINT (6.0976 43.031909),True
504,5.99197,43.1039,2019,10.0,40.0,MEDITERRANEAN,France,6652.0,28680,POINT (5.99197 43.1039),True
514,6.381322,43.274818,2020,4.0,200.0,MEDITERRANEAN,France,5093.0,28970,POINT (6.381322 43.274818),True
539,6.01457,43.42379,2018,1.0,,MEDITERRANEAN,France,6874.0,29773,POINT (6.01457 43.42379),True
558,3.513276,43.314271,2017,10.0,-inf,MEDITERRANEAN,France,7955.0,30699,POINT (3.513276 43.314271),True
559,5.028378,43.342292,2017,0.0,15.0,MEDITERRANEAN,France,3803.0,31247,POINT (5.028378 43.342292),True
585,3.829973,44.236996,2017,0.0,-inf,MEDITERRANEAN,France,9892.0,31310,POINT (3.829973 44.236996),True
598,3.256259,43.225739,2019,10.0,-inf,MEDITERRANEAN,France,6855.0,31908,POINT (3.256259 43.225739),True
606,3.394578,44.060362,2021,5.0,250.0,MEDITERRANEAN,France,4498.0,32058,POINT (3.394578 44.060362),True
625,6.87679,44.02115,2017,1.0,,ALPINE,France,5412.0,32559,POINT (6.87679 44.02115),True
640,3.809804,44.197594,2017,0.0,-inf,MEDITERRANEAN,France,4498.0,34012,POINT (3.809804 44.197594),True
653,4.334848,43.470862,2017,0.0,5.0,MEDITERRANEAN,France,9820.0,34346,POINT (4.334848 43.470862),True
667,3.94807,44.51755,2018,1.0,,CONTINENTAL,France,1539.0,35107,POINT (3.94807 44.51755),True
674,3.19082,43.512311,2020,5.0,2.0,MEDITERRANEAN,France,7295.0,35167,POINT (3.19082 43.512311),True
678,3.704768,43.773178,2018,10.0,25.0,MEDITERRANEAN,France,7526.0,37438,POINT (3.704768 43.773178),True
685,6.2718,43.548058,2021,5.0,15.0,MEDITERRANEAN,France,5721.0,38418,POINT (6.2718 43.548058),True
693,6.50836,43.1899,2020,10.0,10.0,MEDITERRANEAN,France,10073.0,38593,POINT (6.50836 43.1899),True
712,3.521077,43.318651,2017,10.0,-inf,MEDITERRANEAN,France,7955.0,39591,POINT (3.521077 43.318651),True
714,3.96986,43.56676,2020,3.0,25.0,MEDITERRANEAN,France,5980.0,39675,POINT (3.96986 43.56676),True
718,7.143969,43.694257,2020,5.0,16.0,MEDITERRANEAN,France,8654.0,40321,POINT (7.143969 43.694257),True
743,3.0384,42.776854,2018,10.0,16.0,MEDITERRANEAN,France,10347.0,40543,POINT (3.0384 42.776854),True
748,4.416274,44.158867,2021,5.0,250.0,MEDITERRANEAN,France,1276.0,40924,POINT (4.416274 44.158867),True
757,6.575035,43.21136,2019,10.0,200.0,MEDITERRANEAN,France,6235.0,40942,POINT (6.575035 43.21136),True
771,1.993727,42.524095,2018,10.0,20.0,ALPINE,France,2638.0,41522,POINT (1.993727 42.524095),True
788,5.47641,43.96256,2018,1.0,,MEDITERRANEAN,France,6689.0,42598,POINT (5.47641 43.96256),True
806,5.99203,43.1041,2019,10.0,10.0,MEDITERRANEAN,France,3330.0,42603,POINT (5.99203 43.1041),True
822,3.354053,43.733389,2019,0.0,50.0,MEDITERRANEAN,France,960.0,43115,POINT (3.354053 43.733389),True
840,2.4849,42.60598,2019,1.0,,MEDITERRANEAN,France,10762.0,43194,POINT (2.4849 42.60598),True
869,7.130669,43.814636,2020,10.0,1.0,MEDITERRANEAN,France,32.0,43488,POINT (7.130669 43.814636),True
880,5.58559,43.168997,2017,0.0,100.0,MEDITERRANEAN,France,4530.0,44089,POINT (5.58559 43.168997),True
891,6.79841,44.2271,2019,10.0,-inf,ALPINE,France,96.0,47821,POINT (6.79841 44.2271),True
899,6.55063,43.1874,2020,10.0,50.0,MEDITERRANEAN,France,1458.0,51007,POINT (6.55063 43.1874),True
908,3.56744,43.32792,2020,10.0,50.0,MEDITERRANEAN,France,10347.0,51654,POINT (3.56744 43.32792),True
920,5.61113,43.70666,2017,1.0,,MEDITERRANEAN,France,6945.0,53760,POINT (5.61113 43.70666),True
944,6.53478,43.2012,2020,10.0,-inf,MEDITERRANEAN,France,11193.0,53781,POINT (6.53478 43.2012),True
955,3.594671,43.587541,2018,0.0,25.0,MEDITERRANEAN,France,9642.0,55464,POINT (3.594671 43.587541),True
957,5.66691,43.317593,2017,0.0,250.0,MEDITERRANEAN,France,1539.0,55893,POINT (5.66691 43.317593),True
961,6.11076,43.09938,2019,10.0,150.0,MEDITERRANEAN,France,6492.0,56890,POINT (6.11076 43.09938),True
982,4.46339,43.6147,2019,10.0,200.0,MEDITERRANEAN,France,7305.0,57002,POINT (4.46339 43.6147),True
989,6.53615,43.2,2020,10.0,-inf,MEDITERRANEAN,France,51.0,57297,POINT (6.53615 43.2),True
997,5.172998,43.400221,2017,0.0,15.0,MEDITERRANEAN,France,11078.0,58013,POINT (5.172998 43.400221),True
1001,3.33049,43.7156,2019,1.0,,MEDITERRANEAN,France,3935.0,58108,POINT (3.33049 43.7156),True
1007,7.016647,43.859946,2020,9.0,10.0,MEDITERRANEAN,France,9922.0,58312,POINT (7.016647 43.859946),True
1020,2.812483,42.994152,2021,5.0,16.0,MEDITERRANEAN,France,9581.0,60662,POINT (2.812483 42.994152),True
1050,6.29428,43.2822,2021,10.0,300.0,MEDITERRANEAN,France,376.0,60800,POINT (6.29428 43.2822),True
1058,7.195884,43.746717,2021,5.0,-inf,MEDITERRANEAN,France,11193.0,60996,POINT (7.195884 43.746717),True
1069,7.473166,44.083829,2021,0.0,3.0,ALPINE,France,4551.0,62976,POINT (7.473166 44.083829),True
1081,2.63022,42.49793,2017,1.0,,MEDITERRANEAN,France,4498.0,64504,POINT (2.63022 42.49793),True
1104,1.951045,42.526651,2018,0.0,16.0,ALPINE,France,3447.0,65270,POINT (1.951045 42.526651),True
1130,3.84802,44.53696,2017,1.0,,CONTINENTAL,France,10600.0,65656,POINT (3.84802 44.53696),True
1145,6.54499,43.1897,2020,10.0,-inf,MEDITERRANEAN,France,1160.0,65770,POINT (6.54499 43.1897),True
1156,5.43772,43.39329,2018,10.0,100.0,MEDITERRANEAN,France,7192.0,66225,POINT (5.43772 43.39329),True
1187,3.991115,43.805385,2020,4.0,270.0,MEDITERRANEAN,France,2643.0,66715,POINT (3.991115 43.805385),True
1204,4.80283,43.9546,2021,10.0,5.0,MEDITERRANEAN,France,3623.0,67171,POINT (4.80283 43.9546),True
1209,7.333826,44.130631,2018,0.0,30.0,ALPINE,France,10399.0,67210,POINT (7.333826 44.130631),True
1223,3.895614,43.512004,2020,10.0,40.0,MEDITERRANEAN,France,9877.0,67617,POINT (3.895614 43.512004),True
1233,5.12492,43.5059,2021,10.0,200.0,MEDITERRANEAN,France,10305.0,67890,POINT (5.12492 43.5059),True
1242,4.112119,43.615126,2020,5.0,50.0,MEDITERRANEAN,France,9547.0,72298,POINT (4.112119 43.615126),True
1251,5.374974,43.210098,2019,0.0,100.0,MEDITERRANEAN,France,2719.0,72880,POINT (5.374974 43.210098),True
1267,3.867004,44.194853,2017,0.0,-inf,MEDITERRANEAN,France,8138.0,74632,POINT (3.867004 44.194853),True
1283,4.552476,43.453593,2017,0.0,100.0,MEDITERRANEAN,France,3837.0,75812,POINT (4.552476 43.453593),True
1290,6.50454,43.1821,2020,10.0,60.0,MEDITERRANEAN,France,7868.0,75924,POINT (6.50454 43.1821),True
1309,3.780013,43.46212,2020,3.0,16.0,MEDITERRANEAN,France,9994.0,76017,POINT (3.780013 43.46212),True
1321,6.50035,43.1653,2020,10.0,4.0,MEDITERRANEAN,France,4477.0,76404,POINT (6.50035 43.1653),True
1331,2.97246,43.45868,2021,5.0,100.0,MEDITERRANEAN,France,5721.0,76985,POINT (2.97246 43.45868),True
1345,6.604804,43.18125,2019,10.0,30.0,MEDITERRANEAN,France,10619.0,77481,POINT (6.604804 43.18125),True
1359,5.600903,43.236857,2017,0.0,100.0,MEDITERRANEAN,France,9513.0,78357,POINT (5.600903 43.236857),True
1369,1.958611,42.742667,2018,10.0,-inf,ALPINE,France,10591.0,79548,POINT (1.958611 42.742667),True
1377,4.95377,44.0552,2020,10.0,50.0,MEDITERRANEAN,France,9977.0,81555,POINT (4.95377 44.0552),True
1383,2.732088,42.98186,2020,4.0,50.0,MEDITERRANEAN,France,5249.0,81635,POINT (2.732088 42.98186),True
1423,6.107941,43.148145,2020,4.0,200.0,MEDITERRANEAN,France,11193.0,82200,POINT (6.107941 43.148145),True
1454,3.08818,43.152772,2021,5.0,100.0,MEDITERRANEAN,France,5817.0,82405,POINT (3.08818 43.152772),True
1474,3.757449,43.663624,2020,3.0,200.0,MEDITERRANEAN,France,2474.0,82873,POINT (3.757449 43.663624),True
1508,3.050512,42.894565,2018,10.0,16.0,MEDITERRANEAN,France,7315.0,83405,POINT (3.050512 42.894565),True
1522,3.858355,44.173057,2017,0.0,-inf,MEDITERRANEAN,France,7755.0,85546,POINT (3.858355 44.173057),True
1539,6.37199,43.59098,2018,1.0,,MEDITERRANEAN,France,6874.0,87627,POINT (6.37199 43.59098),True
1563,3.813889,43.632929,2020,3.0,200.0,MEDITERRANEAN,France,3937.0,87654,POINT (3.813889 43.632929),True
1600,6.026188,43.115802,2018,0.0,200.0,MEDITERRANEAN,France,11140.0,88389,POINT (6.026188 43.115802),True
1641,4.998267,44.224124,2021,4.0,50.0,MEDITERRANEAN,France,2373.0,89168,POINT (4.998267 44.224124),True
1669,6.903554,43.513912,2018,0.0,15.0,MEDITERRANEAN,France,3251.0,89922,POINT (6.903554 43.513912),True
1684,7.148467,43.722869,2021,5.0,-inf,MEDITERRANEAN,France,4719.0,90210,POINT (7.148467 43.722869),True
1698,3.881654,43.50468,2020,10.0,40.0,MEDITERRANEAN,France,2926.0,90389,POINT (3.881654 43.50468),True
1708,3.045694,42.884111,2017,10.0,-inf,MEDITERRANEAN,France,4059.0,94126,POINT (3.045694 42.884111),True
1720,3.036703,42.75737,2018,10.0,16.0,MEDITERRANEAN,France,10082.0,97883,POINT (3.036703 42.75737),True
1731,3.77259,44.53797,2019,1.0,,CONTINENTAL,France,53.0,98380,POINT (3.77259 44.53797),True
1750,3.792378,43.647386,2021,5.0,200.0,MEDITERRANEAN,France,5412.0,100081,POINT (3.792378 43.647386),True
1785,3.349223,43.273185,2017,0.0,16.0,MEDITERRANEAN,France,4130.0,100162,POINT (3.349223 43.273185),True
1803,4.458102,43.522482,2018,0.0,100.0,MEDITERRANEAN,France,7315.0,101264,POINT (4.458102 43.522482),True
1816,6.933717,43.493311,2020,10.0,-inf,MEDITERRANEAN,France,7318.0,102940,POINT (6.933717 43.493311),True
1842,4.044261,43.559898,2020,9.0,50.0,MEDITERRANEAN,France,1195.0,102946,POINT (4.044261 43.559898),True
1853,4.023429,43.555153,2021,5.0,16.0,MEDITERRANEAN,France,1531.0,102976,POINT (4.023429 43.555153),True
1859,6.45809,43.172,2020,10.0,-inf,MEDITERRANEAN,France,51.0,103737,POINT (6.45809 43.172),True
1871,5.09386,44.1856,2021,10.0,-inf,MEDITERRANEAN,France,2957.0,105736,POINT (5.09386 44.1856),True
1893,5.74805,43.70716,2021,10.0,100.0,MEDITERRANEAN,France,6039.0,105833,POINT (5.74805 43.70716),True
1921,7.30387,43.714417,2017,10.0,1.0,MEDITERRANEAN,France,4985.0,109724,POINT (7.30387 43.714417),True
1928,4.328764,43.45779,2017,0.0,4.0,MEDITERRANEAN,France,11125.0,110229,POINT (4.328764 43.45779),True
1938,5.381253,43.23675,2018,0.0,-inf,MEDITERRANEAN,France,5116.0,110285,POINT (5.381253 43.23675),True
1963,5.84477,43.06968,2017,1.0,,MEDITERRANEAN,France,6669.0,110901,POINT (5.84477 43.06968),True
1974,5.930338,43.275345,2020,2.0,200.0,MEDITERRANEAN,France,8424.0,112317,POINT (5.930338 43.275345),True
2001,3.87664,43.74519,2017,1.0,,MEDITERRANEAN,France,9458.0,112770,POINT (3.87664 43.74519),True
2017,6.85389,43.73396,2019,1.0,,MEDITERRANEAN,France,7837.0,112869,POINT (6.85389 43.73396),True
2044,3.673639,43.65069,2021,5.0,250.0,MEDITERRANEAN,France,9458.0,114429,POINT (3.673639 43.65069),True
2058,3.30575,43.25213,2020,10.0,50.0,MEDITERRANEAN,France,1531.0,115619,POINT (3.30575 43.25213),True
2065,4.838646,43.37294,2017,0.0,9.0,MEDITERRANEAN,France,10051.0,116766,POINT (4.838646 43.37294),True
2076,6.78103,43.75498,2019,1.0,,MEDITERRANEAN,France,3451.0,116851,POINT (6.78103 43.75498),True
2099,2.147024,42.44538,2021,8.0,4.0,ALPINE,Spain,790.0,121083,POINT (2.147024 42.44538),True
2116,3.517462,43.327664,2017,10.0,-inf,MEDITERRANEAN,France,7955.0,122084,POINT (3.517462 43.327664),True
2117,4.211714,43.582824,2021,4.0,25.0,MEDITERRANEAN,France,11157.0,122228,POINT (4.211714 43.582824),True
2137,5.946019,43.265662,2020,4.0,16.0,MEDITERRANEAN,France,5212.0,125141,POINT (5.946019 43.265662),True
2147,3.734986,43.666896,2020,5.0,16.0,MEDITERRANEAN,France,5749.0,125395,POINT (3.734986 43.666896),True
2167,7.10847,43.73528,2019,10.0,-inf,MEDITERRANEAN,France,265.0,125419,POINT (7.10847 43.73528),True
2191,6.01443,43.1196,2020,10.0,200.0,MEDITERRANEAN,France,9353.0,126058,POINT (6.01443 43.1196),True
2205,3.512509,43.324989,2017,10.0,-inf,MEDITERRANEAN,France,6279.0,126782,POINT (3.512509 43.324989),True
2207,3.681813,43.393408,2019,10.0,16.0,MEDITERRANEAN,France,7315.0,128045,POINT (3.681813 43.393408),True
2216,2.266228,43.187136,2021,10.0,30.0,MEDITERRANEAN,France,3958.0,128168,POINT (2.266228 43.187136),True
2220,3.039056,42.812278,2017,10.0,500.0,MEDITERRANEAN,France,5018.0,128741,POINT (3.039056 42.812278),True
2239,5.651342,43.632251,2017,0.0,100.0,MEDITERRANEAN,France,2010.0,129285,POINT (5.651342 43.632251),True
2263,6.772295,43.823368,2021,5.0,100.0,MEDITERRANEAN,France,6205.0,129505,POINT (6.772295 43.823368),True
2297,3.113846,43.176324,2021,5.0,100.0,MEDITERRANEAN,France,4530.0,130819,POINT (3.113846 43.176324),True
2312,3.67406,43.56808,2019,1.0,,MEDITERRANEAN,France,5817.0,131138,POINT (3.67406 43.56808),True
2331,5.113644,44.133052,2021,4.0,2.0,MEDITERRANEAN,France,351.0,131914,POINT (5.113644 44.133052),True
2349,7.51999,43.95636,2017,1.0,,MEDITERRANEAN,France,3345.0,132019,POINT (7.51999 43.95636),True
2373,6.866302,43.582673,2021,5.0,3.0,MEDITERRANEAN,France,9126.0,132200,POINT (6.866302 43.582673),True
2392,6.601929,43.182498,2019,0.0,1000.0,MEDITERRANEAN,France,7749.0,133164,POINT (6.601929 43.182498),True
2401,3.037667,42.812278,2017,10.0,100.0,MEDITERRANEAN,France,7090.0,135169,POINT (3.037667 42.812278),True
2439,7.065517,43.843122,2021,5.0,-inf,MEDITERRANEAN,France,6685.0,136114,POINT (7.065517 43.843122),True
2491,5.06558,44.22553,2018,1.0,,MEDITERRANEAN,France,3043.0,136183,POINT (5.06558 44.22553),True
2518,7.143903,43.69428,2020,4.0,16.0,MEDITERRANEAN,France,1519.0,136368,POINT (7.143903 43.69428),True
2528,4.48925,43.6383,2021,10.0,200.0,MEDITERRANEAN,France,9890.0,137049,POINT (4.48925 43.6383),True
2535,6.38726,43.23525,2019,10.0,3.0,MEDITERRANEAN,France,8801.0,137790,POINT (6.38726 43.23525),True
2540,3.799693,43.640571,2020,4.0,200.0,MEDITERRANEAN,France,6183.0,139939,POINT (3.799693 43.640571),True
2586,3.691355,44.133894,2017,0.0,-inf,MEDITERRANEAN,France,10255.0,140170,POINT (3.691355 44.133894),True
2595,3.87164,44.086848,2017,0.0,-inf,MEDITERRANEAN,France,5412.0,141423,POINT (3.87164 44.086848),True
2613,1.965359,42.522781,2018,10.0,300.0,ALPINE,France,976.0,141480,POINT (1.965359 42.522781),True
2637,3.778477,43.665287,2020,3.0,4.0,MEDITERRANEAN,France,7295.0,143151,POINT (3.778477 43.665287),True
2639,2.012209,42.618507,2017,0.0,9.0,ALPINE,France,4842.0,143529,POINT (2.012209 42.618507),True
2640,5.116712,43.51155,2017,0.0,30.0,MEDITERRANEAN,France,129.0,143895,POINT (5.116712 43.51155),True
2653,3.217108,43.462851,2021,5.0,50.0,MEDITERRANEAN,France,982.0,144245,POINT (3.217108 43.462851),True
2674,3.016237,42.83064,2018,10.0,16.0,MEDITERRANEAN,France,5907.0,145163,POINT (3.016237 42.83064),True
2685,3.514941,43.321379,2017,10.0,-inf,MEDITERRANEAN,France,7955.0,145963,POINT (3.514941 43.321379),True
2686,3.198683,44.628079,2017,0.0,25.0,CONTINENTAL,France,7122.0,145978,POINT (3.198683 44.628079),True
2711,6.035032,43.08018,2019,0.0,-inf,MEDITERRANEAN,France,1912.0,146073,POINT (6.035032 43.08018),True
2740,5.62014,43.405444,2018,0.0,100.0,MEDITERRANEAN,France,9513.0,146432,POINT (5.62014 43.405444),True
2754,3.72009,44.4487,2017,1.0,,CONTINENTAL,France,6989.0,147022,POINT (3.72009 44.4487),True
2768,3.511221,43.318698,2017,10.0,-inf,MEDITERRANEAN,France,6279.0,147049,POINT (3.511221 43.318698),True
2770,6.017738,43.118443,2018,0.0,-inf,MEDITERRANEAN,France,3347.0,147258,POINT (6.017738 43.118443),True
2775,4.040674,43.557183,2020,3.0,16.0,MEDITERRANEAN,France,982.0,147654,POINT (4.040674 43.557183),True
2782,3.037773,42.770605,2018,10.0,16.0,MEDITERRANEAN,France,1531.0,150025,POINT (3.037773 42.770605),True
2792,3.519845,43.318657,2017,10.0,-inf,MEDITERRANEAN,France,7955.0,153397,POINT (3.519845 43.318657),True
2794,6.836574,44.306508,2018,0.0,16.0,ALPINE,France,96.0,153400,POINT (6.836574 44.306508),True
2817,3.202919,43.189284,2019,10.0,-inf,MEDITERRANEAN,France,11023.0,153474,POINT (3.202919 43.189284),True
2823,7.474419,44.082489,2021,0.0,8.0,ALPINE,France,2184.0,154518,POINT (7.474419 44.082489),True
2830,5.498877,43.227081,2017,0.0,250.0,MEDITERRANEAN,France,9572.0,154902,POINT (5.498877 43.227081),True
2837,3.277655,43.835171,2019,0.0,50.0,MEDITERRANEAN,France,1986.0,155109,POINT (3.277655 43.835171),True
2850,1.957972,42.743639,2018,10.0,-inf,ALPINE,France,4638.0,155637,POINT (1.957972 42.743639),True
2925,4.828807,44.039073,2018,0.0,-inf,MEDITERRANEAN,France,2761.0,156987,POINT (4.828807 44.039073),True
2932,3.10722,43.14834,2021,5.0,100.0,MEDITERRANEAN,France,9458.0,159175,POINT (3.10722 43.14834),True
2951,7.089966,43.610477,2018,10.0,-inf,MEDITERRANEAN,France,3738.0,160720,POINT (7.089966 43.610477),True
2991,4.031426,43.556243,2021,5.0,16.0,MEDITERRANEAN,France,8661.0,161003,POINT (4.031426 43.556243),True
2994,5.645082,43.540901,2017,0.0,4.0,MEDITERRANEAN,France,6048.0,161458,POINT (5.645082 43.540901),True
3013,4.95533,44.0551,2020,10.0,100.0,MEDITERRANEAN,France,5665.0,161720,POINT (4.95533 44.0551),True
3035,3.781245,43.465838,2021,6.0,25.0,MEDITERRANEAN,France,600.0,162843,POINT (3.781245 43.465838),True
3044,7.213439,43.81203,2021,5.0,-inf,MEDITERRANEAN,France,9261.0,167065,POINT (7.213439 43.81203),True
3065,5.11592,44.134311,2021,4.0,50.0,MEDITERRANEAN,France,4003.0,167253,POINT (5.11592 44.134311),True
3089,2.38817,43.1989,2019,1.0,,MEDITERRANEAN,France,8542.0,170239,POINT (2.38817 43.1989),True
3104,3.50045,44.75706,2019,1.0,,CONTINENTAL,France,8055.0,171223,POINT (3.50045 44.75706),True
3128,7.37407,43.9745,2019,10.0,-inf,ALPINE,France,3479.0,171527,POINT (7.37407 43.9745),True
3174,4.027906,43.557821,2020,3.0,16.0,MEDITERRANEAN,France,982.0,174090,POINT (4.027906 43.557821),True
3183,4.78159,43.6543,2021,10.0,200.0,MEDITERRANEAN,France,2753.0,174117,POINT (4.78159 43.6543),True
3211,3.873591,43.545822,2020,3.0,4.0,MEDITERRANEAN,France,11078.0,174363,POINT (3.873591 43.545822),True
3212,5.369457,43.208176,2019,10.0,100.0,MEDITERRANEAN,France,6039.0,175385,POINT (5.369457 43.208176),True
3227,3.711102,44.221871,2017,0.0,-inf,MEDITERRANEAN,France,6205.0,175962,POINT (3.711102 44.221871),True
3247,3.98725,44.13921,2017,1.0,,MEDITERRANEAN,France,51.0,177046,POINT (3.98725 44.13921),True
3262,5.555805,43.338129,2021,10.0,25.0,MEDITERRANEAN,France,2539.0,178281,POINT (5.555805 43.338129),True
3284,3.34899,44.75855,2018,1.0,,CONTINENTAL,France,661.0,178711,POINT (3.34899 44.75855),True
3300,3.817879,43.593862,2021,5.0,200.0,MEDITERRANEAN,France,180.0,179153,POINT (3.817879 43.593862),True
3341,5.68119,43.63255,2018,1.0,,MEDITERRANEAN,France,476.0,179801,POINT (5.68119 43.63255),True
3361,5.335572,43.370798,2017,0.0,40.0,MEDITERRANEAN,France,1304.0,180122,POINT (5.335572 43.370798),True
3384,1.995278,42.841917,2017,10.0,100.0,MEDITERRANEAN,France,2211.0,180288,POINT (1.995278 42.841917),True
3416,3.798708,43.793822,2019,0.0,50.0,MEDITERRANEAN,France,10305.0,180304,POINT (3.798708 43.793822),True
3426,3.822054,44.147519,2017,0.0,-inf,MEDITERRANEAN,France,5071.0,184068,POINT (3.822054 44.147519),True
3435,3.070178,43.13099,2021,5.0,100.0,MEDITERRANEAN,France,4029.0,184441,POINT (3.070178 43.13099),True
3449,3.244209,43.216781,2019,10.0,-inf,MEDITERRANEAN,France,1531.0,184776,POINT (3.244209 43.216781),True
3457,4.98129,43.4805,2021,10.0,200.0,MEDITERRANEAN,France,4326.0,185246,POINT (4.98129 43.4805),True
3485,2.775296,43.53831,2020,4.0,400.0,MEDITERRANEAN,France,981.0,185866,POINT (2.775296 43.53831),True
3491,5.37692,43.96538,2019,1.0,,MEDITERRANEAN,France,7706.0,186334,POINT (5.37692 43.96538),True
3516,6.04968,43.58454,2017,1.0,,MEDITERRANEAN,France,6945.0,186953,POINT (6.04968 43.58454),True
3532,4.797061,44.206054,2021,5.0,1.0,MEDITERRANEAN,France,10910.0,187105,POINT (4.797061 44.206054),True
3537,5.15352,44.1683,2020,10.0,40.0,MEDITERRANEAN,France,4719.0,187322,POINT (5.15352 44.1683),True
3545,3.779655,44.231649,2017,0.0,-inf,MEDITERRANEAN,France,10896.0,187491,POINT (3.779655 44.231649),True
3555,6.48424,43.272725,2021,5.0,16.0,MEDITERRANEAN,France,8959.0,189445,POINT (6.48424 43.272725),True
3573,3.667701,44.205554,2017,0.0,-inf,MEDITERRANEAN,France,10255.0,190262,POINT (3.667701 44.205554),True
3583,3.051268,42.89122,2018,10.0,16.0,MEDITERRANEAN,France,3466.0,191441,POINT (3.051268 42.89122),True
3602,3.741025,44.207073,2017,0.0,-inf,MEDITERRANEAN,France,6711.0,192823,POINT (3.741025 44.207073),True
3623,2.66078,43.62979,2017,1.0,,CONTINENTAL,France,8512.0,192968,POINT (2.66078 43.62979),True
3634,3.811427,43.626003,2021,5.0,4.0,MEDITERRANEAN,France,5754.0,194829,POINT (3.811427 43.626003),True
3635,6.92827,43.47446,2021,10.0,60.0,MEDITERRANEAN,France,476.0,194984,POINT (6.92827 43.47446),True
